"sigma_yy","strain:0","strain:1","strain:2","Points:0","Points:1","Points:2"
7.576e-05,0.037149,0.00081531,-8.4268e-08,53.805,50,0
7.5275e-05,0.037115,0.00080969,-8.4326e-08,53.86,50,0
7.4791e-05,0.037081,0.00080407,-8.4385e-08,53.915,50,0
7.4307e-05,0.037046,0.00079845,-8.4444e-08,53.97,50,0
7.3889e-05,0.037015,0.00079435,-8.4489e-08,54.025,50,0
7.355e-05,0.036986,0.00079207,-8.4518e-08,54.08,50,0
7.3211e-05,0.036957,0.0007898,-8.4547e-08,54.135,50,0
7.2872e-05,0.036928,0.00078752,-8.4577e-08,54.19,50,0
7.2533e-05,0.036899,0.00078524,-8.4606e-08,54.245,50,0
7.2194e-05,0.03687,0.00078297,-8.4635e-08,54.3,50,0
7.1855e-05,0.036841,0.00078069,-8.4664e-08,54.355,50,0
7.1516e-05,0.036812,0.00077842,-8.4694e-08,54.41,50,0
7.1177e-05,0.036784,0.00077614,-8.4723e-08,54.465,50,0
7.0838e-05,0.036755,0.00077386,-8.4752e-08,54.52,50,0
7.0499e-05,0.036726,0.00077159,-8.4782e-08,54.575,50,0
7.016e-05,0.036697,0.00076931,-8.4811e-08,54.63,50,0
6.9821e-05,0.036668,0.00076704,-8.484e-08,54.685,50,0
6.9482e-05,0.036639,0.00076476,-8.4869e-08,54.74,50,0
6.9144e-05,0.03661,0.00076248,-8.4899e-08,54.795,50,0
6.8805e-05,0.036582,0.00076021,-8.4928e-08,54.85,50,0
6.8466e-05,0.036553,0.00075793,-8.4957e-08,54.905,50,0
6.8127e-05,0.036524,0.00075565,-8.4987e-08,54.96,50,0
6.7788e-05,0.036495,0.00075338,-8.5016e-08,55.015,50,0
6.7449e-05,0.036466,0.0007511,-8.5045e-08,55.07,50,0
6.711e-05,0.036437,0.00074883,-8.5074e-08,55.125,50,0
6.6771e-05,0.036408,0.00074655,-8.5104e-08,55.18,50,0
6.6432e-05,0.036379,0.00074427,-8.5133e-08,55.235,50,0
6.6093e-05,0.036351,0.000742,-8.5162e-08,55.29,50,0
6.5754e-05,0.036322,0.00073972,-8.5191e-08,55.345,50,0
6.5415e-05,0.036293,0.00073745,-8.5221e-08,55.4,50,0
6.5076e-05,0.036264,0.00073517,-8.525e-08,55.455,50,0
6.4737e-05,0.036235,0.00073289,-8.5279e-08,55.51,50,0
6.4398e-05,0.036206,0.00073062,-8.5309e-08,55.565,50,0
6.4059e-05,0.036177,0.00072834,-8.5338e-08,55.62,50,0
6.372e-05,0.036149,0.00072607,-8.5367e-08,55.675,50,0
6.3381e-05,0.03612,0.00072379,-8.5396e-08,55.73,50,0
6.3042e-05,0.036091,0.00072151,-8.5426e-08,55.785,50,0
6.2703e-05,0.036062,0.00071924,-8.5455e-08,55.84,50,0
6.2364e-05,0.036033,0.00071696,-8.5484e-08,55.895,50,0
6.2025e-05,0.036004,0.00071468,-8.5514e-08,55.95,50,0
6.1695e-05,0.035976,0.00071261,-8.554e-08,56.005,50,0
6.1445e-05,0.035951,0.00071255,-8.5533e-08,56.06,50,0
6.1195e-05,0.035926,0.00071248,-8.5527e-08,56.115,50,0
6.0945e-05,0.035901,0.00071242,-8.5521e-08,56.17,50,0
6.0696e-05,0.035876,0.00071236,-8.5514e-08,56.225,50,0
6.0446e-05,0.035851,0.0007123,-8.5508e-08,56.28,50,0
6.0196e-05,0.035826,0.00071224,-8.5502e-08,56.335,50,0
5.9946e-05,0.035801,0.00071217,-8.5496e-08,56.39,50,0
5.9696e-05,0.035776,0.00071211,-8.5489e-08,56.445,50,0
5.9447e-05,0.035751,0.00071205,-8.5483e-08,56.5,50,0
5.9197e-05,0.035726,0.00071199,-8.5477e-08,56.555,50,0
5.8947e-05,0.035701,0.00071192,-8.547e-08,56.61,50,0
5.8697e-05,0.035676,0.00071186,-8.5464e-08,56.665,50,0
5.8448e-05,0.035652,0.0007118,-8.5458e-08,56.72,50,0
5.8198e-05,0.035627,0.00071174,-8.5452e-08,56.775,50,0
5.7948e-05,0.035602,0.00071167,-8.5445e-08,56.83,50,0
5.7698e-05,0.035577,0.00071161,-8.5439e-08,56.885,50,0
5.7449e-05,0.035552,0.00071155,-8.5433e-08,56.94,50,0
5.7199e-05,0.035527,0.00071149,-8.5426e-08,56.995,50,0
5.6949e-05,0.035502,0.00071143,-8.542e-08,57.05,50,0
5.6699e-05,0.035477,0.00071136,-8.5414e-08,57.105,50,0
5.6449e-05,0.035452,0.0007113,-8.5408e-08,57.16,50,0
5.62e-05,0.035427,0.00071124,-8.5401e-08,57.215,50,0
5.595e-05,0.035402,0.00071118,-8.5395e-08,57.27,50,0
5.57e-05,0.035377,0.00071111,-8.5389e-08,57.325,50,0
5.545e-05,0.035352,0.00071105,-8.5382e-08,57.38,50,0
5.5201e-05,0.035327,0.00071099,-8.5376e-08,57.435,50,0
5.4951e-05,0.035302,0.00071093,-8.537e-08,57.49,50,0
5.4701e-05,0.035278,0.00071086,-8.5364e-08,57.545,50,0
5.4451e-05,0.035253,0.0007108,-8.5357e-08,57.6,50,0
5.4202e-05,0.035228,0.00071074,-8.5351e-08,57.655,50,0
5.3952e-05,0.035203,0.00071068,-8.5345e-08,57.71,50,0
5.3702e-05,0.035178,0.00071062,-8.5338e-08,57.765,50,0
5.3452e-05,0.035153,0.00071055,-8.5332e-08,57.82,50,0
5.3203e-05,0.035128,0.00071049,-8.5326e-08,57.875,50,0
5.2953e-05,0.035103,0.00071043,-8.532e-08,57.93,50,0
5.2703e-05,0.035078,0.00071037,-8.5313e-08,57.985,50,0
5.2495e-05,0.035055,0.0007114,-8.5277e-08,58.04,50,0
5.2303e-05,0.035033,0.00071286,-8.5229e-08,58.095,50,0
5.2112e-05,0.035011,0.00071431,-8.5182e-08,58.15,50,0
5.192e-05,0.034989,0.00071576,-8.5134e-08,58.205,50,0
5.1728e-05,0.034968,0.00071721,-8.5086e-08,58.26,50,0
5.1536e-05,0.034946,0.00071866,-8.5039e-08,58.315,50,0
5.1344e-05,0.034924,0.00072012,-8.4991e-08,58.37,50,0
5.1152e-05,0.034902,0.00072157,-8.4943e-08,58.425,50,0
5.0961e-05,0.03488,0.00072302,-8.4896e-08,58.48,50,0
5.0769e-05,0.034858,0.00072447,-8.4848e-08,58.535,50,0
5.0577e-05,0.034836,0.00072592,-8.48e-08,58.59,50,0
5.0385e-05,0.034814,0.00072738,-8.4753e-08,58.645,50,0
5.0193e-05,0.034792,0.00072883,-8.4705e-08,58.7,50,0
5.0001e-05,0.03477,0.00073028,-8.4657e-08,58.755,50,0
4.981e-05,0.034748,0.00073173,-8.461e-08,58.81,50,0
4.9618e-05,0.034726,0.00073318,-8.4562e-08,58.865,50,0
4.9426e-05,0.034704,0.00073464,-8.4514e-08,58.92,50,0
4.9234e-05,0.034682,0.00073609,-8.4467e-08,58.975,50,0
4.9042e-05,0.03466,0.00073754,-8.4419e-08,59.03,50,0
4.885e-05,0.034638,0.00073899,-8.4372e-08,59.085,50,0
4.8658e-05,0.034616,0.00074044,-8.4324e-08,59.14,50,0
4.8467e-05,0.034594,0.00074189,-8.4276e-08,59.195,50,0
4.8275e-05,0.034573,0.00074335,-8.4229e-08,59.25,50,0
4.8083e-05,0.034551,0.0007448,-8.4181e-08,59.305,50,0
4.7891e-05,0.034529,0.00074625,-8.4133e-08,59.36,50,0
4.7699e-05,0.034507,0.0007477,-8.4086e-08,59.415,50,0
4.7507e-05,0.034485,0.00074915,-8.4038e-08,59.47,50,0
4.7316e-05,0.034463,0.00075061,-8.399e-08,59.525,50,0
4.7124e-05,0.034441,0.00075206,-8.3943e-08,59.58,50,0
4.6932e-05,0.034419,0.00075351,-8.3895e-08,59.635,50,0
4.674e-05,0.034397,0.00075496,-8.3847e-08,59.69,50,0
4.6548e-05,0.034375,0.00075641,-8.38e-08,59.745,50,0
4.6356e-05,0.034353,0.00075787,-8.3752e-08,59.8,50,0
4.6164e-05,0.034331,0.00075932,-8.3704e-08,59.855,50,0
4.5973e-05,0.034309,0.00076077,-8.3657e-08,59.91,50,0
4.5781e-05,0.034287,0.00076222,-8.3609e-08,59.965,50,0
4.5603e-05,0.034266,0.00076406,-8.3545e-08,60.02,50,0
4.5451e-05,0.034247,0.00076656,-8.3451e-08,60.075,50,0
4.5298e-05,0.034227,0.00076907,-8.3358e-08,60.13,50,0
4.5145e-05,0.034207,0.00077158,-8.3264e-08,60.185,50,0
4.4993e-05,0.034188,0.00077409,-8.3171e-08,60.24,50,0
4.484e-05,0.034168,0.00077659,-8.3078e-08,60.295,50,0
4.4688e-05,0.034149,0.0007791,-8.2984e-08,60.35,50,0
4.4535e-05,0.034129,0.00078161,-8.2891e-08,60.405,50,0
4.4383e-05,0.034109,0.00078411,-8.2797e-08,60.46,50,0
4.423e-05,0.03409,0.00078662,-8.2704e-08,60.515,50,0
4.4077e-05,0.03407,0.00078913,-8.261e-08,60.57,50,0
4.3925e-05,0.034051,0.00079163,-8.2517e-08,60.625,50,0
4.3772e-05,0.034031,0.00079414,-8.2423e-08,60.68,50,0
4.362e-05,0.034012,0.00079665,-8.233e-08,60.735,50,0
