,t,crack_length,g_frac,g_v,Fy
1810,1811.0,82.0,20.61969615609488,-102.84794840598325,381.033955190095
1821,1822.0,82.5,20.929458187057712,-106.89454757699474,368.4753357090912
1833,1834.0,83.0,20.74080003198397,-106.8360921921365,358.7385103776969
1844,1845.0,83.5,20.75417175792111,-111.38570492359467,350.1959759771601
1855,1856.0,84.0,20.78298313259316,-110.23000710881018,336.95521313362457
1865,1866.0,84.5,21.120833465774524,-114.67259029987603,322.5299385454013
1876,1877.0,85.0,20.933068994294825,-113.28388915246774,314.0192628105326
1886,1887.0,85.5,20.947303096118183,-118.47451384495706,304.5238549374856
1897,1898.0,86.0,21.33219462884467,-116.19623536859936,283.0135178833529
1907,1908.0,86.5,21.437457912749597,-121.71747541790994,266.24109658445434
1917,1918.0,87.0,21.181723413366285,-119.01782809531738,259.98773899643066
1926,1927.0,87.5,21.2036152463117,-124.6913123479998,238.44618824122372
1937,1938.0,88.0,21.65537227624904,-120.69835344319593,200.9027645839647
1946,1947.0,88.5,21.7729973834969,-126.40755392660044,188.2057963999644
1956,1957.0,89.0,21.52365999019416,-121.46016459765428,147.2403958228246
1965,1966.0,89.5,21.607937342402355,-129.9243364244661,113.40886092757714
1975,1976.0,90.0,22.166162142286147,-129.08782724694836,77.25226711692429
1983,1984.0,90.5,22.16070966486657,-142.2651821778413,47.48930047773084
1993,1994.0,91.0,22.16331941985691,-147.84486843676908,12.205573627020598
2000,2001.0,91.5,22.283836060681388,-164.64367038340094,-9.18471106244057
2009,2010.0,92.0,23.011265980796612,-173.13916064066964,-38.65893750963204
2016,2017.0,92.5,22.99680937027513,-195.29326520502588,-34.23670223794045
2023,2024.0,93.0,22.88933668838887,-201.7167582223437,-61.65792368394975
2029,2030.0,93.5,22.991554315779343,-226.4830197757484,-85.57979251063594
2036,2037.0,94.0,23.223912980717397,-238.72451013071844,-103.3768280400042
2042,2043.0,94.5,23.985661595704,-268.3084191873683,-128.1600939886572
2048,2049.0,95.0,23.62072380339905,-279.1619022604944,-162.37943570903076
2053,2054.0,95.5,23.75085572517472,-305.4601791546732,-191.2935006472764
2058,2059.0,96.0,23.954264435522624,-308.7618985958668,-217.75459118229188
2063,2064.0,96.5,24.92049987637762,-342.26171041326205,-245.12487357498452
2068,2069.0,97.0,24.514220092276236,-361.7813964353797,-278.0608194595748
2072,2073.0,97.5,24.695532608145285,-406.389105978246,-311.8788935584945
2076,2077.0,98.0,25.910502196560373,-440.8049448546029,-356.7806655942356
2079,2080.0,98.5,26.249419517880032,-517.7914473986391,-405.79861422554086
2082,2083.0,99.0,25.535835707199382,-569.6042277608279,-483.200981627086
2084,2085.0,99.5,25.720592804570764,-715.3964926296984,-593.2484151563792
2086,2087.0,100.0,26.922624477941927,8.475966340184236,-891.7584366634808
